independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Acm	107.0	-14.01	-14.74	5.16	1.63	-4.21	4.68	0.59	7.16
Acm	109.6	-14.34	-15.66	5.22	1.85	-4.79	2.92	0.39	7.57
Acm	112.2	-14.57	-16.39	5.20	2.03	-5.30	1.19	0.24	8.00
Acm	114.8	-14.71	-16.93	5.10	2.18	-5.73	-0.48	0.13	8.47
Acm	117.4	-14.74	-17.26	4.93	2.29	-6.09	-2.08	0.06	8.97
Acm	120.0	-14.67	-17.39	4.70	2.36	-6.37	-3.60	0.05	9.50
Acm	122.6	-14.48	-17.34	4.42	2.40	-6.58	-5.01	0.07	10.06
Acm	125.2	-14.19	-17.10	4.08	2.42	-6.71	-6.30	0.14	10.64
Acm	127.8	-13.79	-16.70	3.70	2.40	-6.78	-7.46	0.26	11.24
Acm	130.4	-13.29	-16.13	3.30	2.36	-6.79	-8.48	0.42	11.86
Acm	133.0	-12.69	-15.42	2.87	2.30	-6.73	-9.35	0.62	12.50
Acm	135.7	-12.01	-14.58	2.43	2.22	-6.61	-10.06	0.86	13.14
Acm	138.3	-11.24	-13.63	1.99	2.12	-6.44	-10.61	1.14	13.79
Acm	140.9	-10.41	-12.59	1.57	2.01	-6.22	-11.00	1.45	14.44
Acm	143.5	-9.53	-11.48	1.15	1.89	-5.96	-11.21	1.78	15.08
Acm	146.1	-8.60	-10.32	0.77	1.76	-5.66	-11.25	2.15	15.71
Acm	148.7	-7.65	-9.14	0.42	1.63	-5.32	-11.14	2.53	16.32
Acm	151.3	-6.68	-7.96	0.12	1.49	-4.95	-10.85	2.92	16.91
Acm	153.9	-5.73	-6.79	-0.14	1.35	-4.55	-10.42	3.32	17.47
Acm	156.5	-4.79	-5.65	-0.34	1.20	-4.13	-9.84	3.71	18.00
Acm	159.1	-3.90	-4.58	-0.49	1.06	-3.70	-9.12	4.09	18.48
Acm	161.7	-3.06	-3.59	-0.58	0.92	-3.25	-8.27	4.46	18.92
Acm	164.3	-2.30	-2.68	-0.62	0.79	-2.80	-7.31	4.79	19.32
Acm	167.0	-1.63	-1.89	-0.60	0.65	-2.34	-6.25	5.09	19.66
Acm	169.6	-1.06	-1.23	-0.54	0.52	-1.87	-5.10	5.35	19.94
Acm	172.2	-0.60	-0.70	-0.44	0.39	-1.41	-3.89	5.56	20.16
Acm	174.8	-0.27	-0.31	-0.31	0.26	-0.94	-2.62	5.71	20.32
Acm	177.4	-0.07	-0.08	-0.16	0.13	-0.47	-1.32	5.80	20.42
Acm	180.0	0.00	-0.00	0.00	0.00	-0.00	-0.00	5.84	20.45
