ordinal	offset_words_0based	offset_bytes_0based	name	implicit_type	legacy_encoding	dimensions	elements	bytes	semantic_group	legacy_role	cm12_contract_relevance	target_owner
41	20654	82616	ERR	implicit-REAL*4	numeric-REAL*4	200	200	800	experimental-data	measurement-errors	excluded	legacy-adapter
42	20854	83416	TEX	implicit-REAL*4	numeric-REAL*4	200	200	800	experimental-data	measured-energies	excluded	legacy-adapter
43	21054	84216	OBS	implicit-REAL*4	numeric-REAL*4	99	99	396	observable-workspace	observable-grid	adapter	batch-result
44	21153	84612	DOBS	implicit-REAL*4	numeric-REAL*4	99	99	396	uncertainty	observable-uncertainty-grid	optional	uncertainty-result
45	21252	85008	XEX	implicit-REAL*4	numeric-REAL*4	600	600	2400	experimental-data	plot-or-data-coordinates	excluded	legacy-adapter
46	21852	87408	NBT	implicit-INTEGER*4	numeric-INTEGER*4	99	99	396	fit-control	fit-bin-or-point-index	optional	uncertainty-model
47	21951	87804	CIS	implicit-REAL*4	numeric-REAL*4	6x2	12	48	solution-definition	isospin-coefficients	required	solution
48	21963	87852	CH	implicit-REAL*4	numeric-REAL*4	4x4x6	96	384	solution-definition	helicity-angular-coefficients	required	solution
49	22059	88236	HDAT	implicit-REAL*4	packed-A4-in-REAL*4	3	3	12	packed-text	date-label	excluded	legacy-adapter
50	22062	88248	IR0	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	grid-index	reaction-family-offset	adapter	request-validation
51	22063	88252	THTX	implicit-REAL*4	numeric-REAL*4	200	200	800	experimental-data	measured-angles	excluded	legacy-adapter
52	22263	89052	NINC	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	grid-index	active-grid-count	adapter	batch-adapter
53	22264	89056	NINCMX	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	grid-index	grid-capacity-control	excluded	legacy-adapter
54	22265	89060	NNL	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	solution-definition	partial-wave-limit	required	solution
55	22266	89064	NMTTL	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	grid-index	reaction-label-count	internal	kinematics-policy
56	22267	89068	NITTL	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	grid-index	observable-label-count	excluded	legacy-adapter
57	22268	89072	DER	implicit-REAL*4	numeric-REAL*4	scalar	1	4	multipole-workspace	active-real-multipole	internal	multipole-result
58	22269	89076	DEI	implicit-REAL*4	numeric-REAL*4	scalar	1	4	multipole-workspace	active-imaginary-multipole	internal	multipole-result
59	22270	89080	DPZ	implicit-REAL*4	numeric-REAL*4	99	99	396	uncertainty	parameter-displacement	optional	uncertainty-model
60	22369	89476	OBSPRD	implicit-REAL*4	numeric-REAL*4	scalar	1	4	observable-workspace	active-observable	required	observable-result
