file	routine	kind	said_line	said_bkp_relation	said_old_relation	said_sha256	said_bkp_sha256	said_old_sha256	behavioral_relevance
eprsd.f	ZDWI	function	1956	identical	identical	41c83aadd3bbb2bef66b7e604b0b090e23c53e0c5c9958d2b0baaa5b145b429a	41c83aadd3bbb2bef66b7e604b0b090e23c53e0c5c9958d2b0baaa5b145b429a	41c83aadd3bbb2bef66b7e604b0b090e23c53e0c5c9958d2b0baaa5b145b429a	none-no-variant-delta
eprsd.f	MD07I	subroutine	1970	identical	identical	6b9be7035125d6943aaaf065f9686ca5746e97766e0b906a1d2caa0ecd7432dd	6b9be7035125d6943aaaf065f9686ca5746e97766e0b906a1d2caa0ecd7432dd	6b9be7035125d6943aaaf065f9686ca5746e97766e0b906a1d2caa0ecd7432dd	none-no-variant-delta
eprsd.f	MD03I	subroutine	2024	identical	identical	bfa6172a94411a2e8dc51673388c9eb4947dc92ecf38cb4990f06d0c2ce39a4d	bfa6172a94411a2e8dc51673388c9eb4947dc92ecf38cb4990f06d0c2ce39a4d	bfa6172a94411a2e8dc51673388c9eb4947dc92ecf38cb4990f06d0c2ce39a4d	none-no-variant-delta
eprsd.f	KELLY	subroutine	2073	identical	identical	b754246f9e4d108fdf3b99db55ad181ed9453c30babeec0b9f3b70be1c5c5d1a	b754246f9e4d108fdf3b99db55ad181ed9453c30babeec0b9f3b70be1c5c5d1a	b754246f9e4d108fdf3b99db55ad181ed9453c30babeec0b9f3b70be1c5c5d1a	none-no-variant-delta
eprsd.f	BWEM	subroutine	2110	identical	identical	fbc24811ddebd9bc74bb5b408a80f922cd94e4d53d90d371b0f0cbf74c83affc	fbc24811ddebd9bc74bb5b408a80f922cd94e4d53d90d371b0f0cbf74c83affc	fbc24811ddebd9bc74bb5b408a80f922cd94e4d53d90d371b0f0cbf74c83affc	none-no-variant-delta
eprsd.f	DMTEPR	subroutine	2249	identical	identical	f0874853f580ea11d9c6163fa90404a0d5333f01907331795df742731493c38a	f0874853f580ea11d9c6163fa90404a0d5333f01907331795df742731493c38a	f0874853f580ea11d9c6163fa90404a0d5333f01907331795df742731493c38a	none-no-variant-delta
eprsd.f	DMTI	function	2291	identical	identical	44a9a88b7b38aeb6ca6df9ecfbb743d220db8f273ae8cda791c5132a4afb804f	44a9a88b7b38aeb6ca6df9ecfbb743d220db8f273ae8cda791c5132a4afb804f	44a9a88b7b38aeb6ca6df9ecfbb743d220db8f273ae8cda791c5132a4afb804f	none-no-variant-delta
eprsd.f	HLEEEPR	subroutine	2304	identical	identical	d7165e3270cfe56669fb623552142afc7c04cb2ad8ce6d8607da72c36c7d5011	d7165e3270cfe56669fb623552142afc7c04cb2ad8ce6d8607da72c36c7d5011	d7165e3270cfe56669fb623552142afc7c04cb2ad8ce6d8607da72c36c7d5011	none-no-variant-delta
eprsd.f	HLI	function	2345	identical	identical	35b66ee43c7e599d049fb89a0013e2a5f6a3e86fb401b1acf61c922b21faead8	35b66ee43c7e599d049fb89a0013e2a5f6a3e86fb401b1acf61c922b21faead8	35b66ee43c7e599d049fb89a0013e2a5f6a3e86fb401b1acf61c922b21faead8	none-no-variant-delta
eprsd.f	CLAS4065	subroutine	2358	identical	identical	4e734542b4c804fbdbd54677b7e4dd37eab9dde7b06591fa806d95bf414dbea9	4e734542b4c804fbdbd54677b7e4dd37eab9dde7b06591fa806d95bf414dbea9	4e734542b4c804fbdbd54677b7e4dd37eab9dde7b06591fa806d95bf414dbea9	none-no-variant-delta
eprsd.f	DAVIDSON	subroutine	2455	identical	identical	db563ef1ca5d404b5d0111e9329722e39159955d47dd0177e6147d735a9f3686	db563ef1ca5d404b5d0111e9329722e39159955d47dd0177e6147d735a9f3686	db563ef1ca5d404b5d0111e9329722e39159955d47dd0177e6147d735a9f3686	none-no-variant-delta
eprsd.f	EPRSOL	subroutine	2521	identical	identical	79e1b9bc5af93fd1b3fec4ba5f0e66b576635359a0d9ac653c7690674ae76cb0	79e1b9bc5af93fd1b3fec4ba5f0e66b576635359a0d9ac653c7690674ae76cb0	79e1b9bc5af93fd1b3fec4ba5f0e66b576635359a0d9ac653c7690674ae76cb0	none-no-variant-delta
eprsd.f	Q2MOD	subroutine	2934	identical	identical	885aa763b763addad6131acebe53f3d8fdb87c74d1869e13246e5fca5d3c6a33	885aa763b763addad6131acebe53f3d8fdb87c74d1869e13246e5fca5d3c6a33	885aa763b763addad6131acebe53f3d8fdb87c74d1869e13246e5fca5d3c6a33	none-no-variant-delta
eprsd.f	SETRES	subroutine	3017	identical	identical	2492bf682abe9de7919d2e7d62ea29ab818879c9ea9e5ca96ca5268b84a28c38	2492bf682abe9de7919d2e7d62ea29ab818879c9ea9e5ca96ca5268b84a28c38	2492bf682abe9de7919d2e7d62ea29ab818879c9ea9e5ca96ca5268b84a28c38	none-no-variant-delta
eprsd.f	EDLTRES	subroutine	3141	identical	identical	798fc35be9f88fc01f7bb8569ccec12b2c3aadf5f941be082a71d9a1008b0207	798fc35be9f88fc01f7bb8569ccec12b2c3aadf5f941be082a71d9a1008b0207	798fc35be9f88fc01f7bb8569ccec12b2c3aadf5f941be082a71d9a1008b0207	none-no-variant-delta
eprsd.f	AMPQ2	subroutine	3225	identical	identical	56d299a2001785750ee17ba62e0bcaed3a86eb60234c5a99b3bf2792b058ef52	56d299a2001785750ee17ba62e0bcaed3a86eb60234c5a99b3bf2792b058ef52	56d299a2001785750ee17ba62e0bcaed3a86eb60234c5a99b3bf2792b058ef52	none-no-variant-delta
eprsd.f	PLTIT	subroutine	3700	identical	identical	000c095283004410efd996ad4d75240422ec8ee698cfd07a2719e805fae95ce0	000c095283004410efd996ad4d75240422ec8ee698cfd07a2719e805fae95ce0	000c095283004410efd996ad4d75240422ec8ee698cfd07a2719e805fae95ce0	none-no-variant-delta
eprsd.f	PNCHPR	subroutine	3728	identical	identical	365ef6d99796a532776c5069af2eaacb8facc2e3b6b17cbbc1bc70d29d9be0b8	365ef6d99796a532776c5069af2eaacb8facc2e3b6b17cbbc1bc70d29d9be0b8	365ef6d99796a532776c5069af2eaacb8facc2e3b6b17cbbc1bc70d29d9be0b8	none-no-variant-delta
eprsd.f	EPRMOBS	subroutine	3771	identical	identical	b97766fa959c8ba00d7b330f74f723232b38ddfe0d0b4f6f13e5e6b013b93d4a	b97766fa959c8ba00d7b330f74f723232b38ddfe0d0b4f6f13e5e6b013b93d4a	b97766fa959c8ba00d7b330f74f723232b38ddfe0d0b4f6f13e5e6b013b93d4a	none-no-variant-delta
eprsd.f	EPRSYM	subroutine	4210	identical	identical	6696702c6d82cd726aa341fc798591a3d7c0a7138576955d5faae285a8d3a4a5	6696702c6d82cd726aa341fc798591a3d7c0a7138576955d5faae285a8d3a4a5	6696702c6d82cd726aa341fc798591a3d7c0a7138576955d5faae285a8d3a4a5	none-no-variant-delta
eprsd.f	EPROPEN	subroutine	4292	identical	identical	89e778b5c2792d27794b790b0ca73bd1b98e53647d4765f5716ad271cd03f37d	89e778b5c2792d27794b790b0ca73bd1b98e53647d4765f5716ad271cd03f37d	89e778b5c2792d27794b790b0ca73bd1b98e53647d4765f5716ad271cd03f37d	none-no-variant-delta
eprsd.f	FTOA	subroutine	4334	identical	identical	0e1d95db343b5374dc7f8cb2981d718bc402d0ac2f143a34040128bf769a8a3f	0e1d95db343b5374dc7f8cb2981d718bc402d0ac2f143a34040128bf769a8a3f	0e1d95db343b5374dc7f8cb2981d718bc402d0ac2f143a34040128bf769a8a3f	none-no-variant-delta
eprsd.f	SAIDEQ	subroutine	4406	identical	identical	691d85fac6c91a603ef9582fa15df2757b4461659fd451ef2022a434144f1cbe	691d85fac6c91a603ef9582fa15df2757b4461659fd451ef2022a434144f1cbe	691d85fac6c91a603ef9582fa15df2757b4461659fd451ef2022a434144f1cbe	none-no-variant-delta
eprsd.f	EPRSETC	subroutine	4424	identical	identical	fc644796ba5eac5fab870c836c70d09adb08599d884cd2cf90e943575bc40e1a	fc644796ba5eac5fab870c836c70d09adb08599d884cd2cf90e943575bc40e1a	fc644796ba5eac5fab870c836c70d09adb08599d884cd2cf90e943575bc40e1a	none-no-variant-delta
eprsd.f	EPROBS	subroutine	4487	identical	identical	213f3184417da38135c7ce421e5a6cb85a7740e806badb5554731f21a079dca4	213f3184417da38135c7ce421e5a6cb85a7740e806badb5554731f21a079dca4	213f3184417da38135c7ce421e5a6cb85a7740e806badb5554731f21a079dca4	none-no-variant-delta
eprsd.f	SF07	subroutine	4727	identical	identical	6f6754ab4efa185c24122e258a2835d727b4fa276340808ffa73bd8a37a2bfee	6f6754ab4efa185c24122e258a2835d727b4fa276340808ffa73bd8a37a2bfee	6f6754ab4efa185c24122e258a2835d727b4fa276340808ffa73bd8a37a2bfee	none-no-variant-delta
eprsd.f	EPRAET	subroutine	4751	identical	identical	3d58141a7ba69bf9ddb971f68e0dc6ea488b32b171811e1a53f7e262dd7c2acf	3d58141a7ba69bf9ddb971f68e0dc6ea488b32b171811e1a53f7e262dd7c2acf	3d58141a7ba69bf9ddb971f68e0dc6ea488b32b171811e1a53f7e262dd7c2acf	none-no-variant-delta
eprsd.f	EPRAETN	subroutine	4891	identical	identical	f8b3bef9cec0bdd6358b78fc83143a43fb4bdcb6a78e448ee63bf3fe6d604328	f8b3bef9cec0bdd6358b78fc83143a43fb4bdcb6a78e448ee63bf3fe6d604328	f8b3bef9cec0bdd6358b78fc83143a43fb4bdcb6a78e448ee63bf3fe6d604328	none-no-variant-delta
eprsd.f	E2M1	subroutine	4962	identical	identical	ce8e25e2cd3d3657c0cf7742becb9b5163b26e25fbe54da8e5a200104a8c5e55	ce8e25e2cd3d3657c0cf7742becb9b5163b26e25fbe54da8e5a200104a8c5e55	ce8e25e2cd3d3657c0cf7742becb9b5163b26e25fbe54da8e5a200104a8c5e55	none-no-variant-delta
eprsd.f	EPRODO	subroutine	5050	identical	identical	eabad436e0f0267d22777e9259674e8affb842f9d719c17e93cd6229e2531d42	eabad436e0f0267d22777e9259674e8affb842f9d719c17e93cd6229e2531d42	eabad436e0f0267d22777e9259674e8affb842f9d719c17e93cd6229e2531d42	none-no-variant-delta
eprsd.f	EPRCHI	subroutine	5115	identical	identical	f41fbb8dd8a9dad4339d7e670c628313758fd4aef123f83dc7c80f41c0fa184e	f41fbb8dd8a9dad4339d7e670c628313758fd4aef123f83dc7c80f41c0fa184e	f41fbb8dd8a9dad4339d7e670c628313758fd4aef123f83dc7c80f41c0fa184e	none-no-variant-delta
eprsd.f	MKINTP	subroutine	5452	identical	identical	1e45557e6636d656886d756296fc2ef90e5f800edda81157b676fee3e1519e4e	1e45557e6636d656886d756296fc2ef90e5f800edda81157b676fee3e1519e4e	1e45557e6636d656886d756296fc2ef90e5f800edda81157b676fee3e1519e4e	none-no-variant-delta
eprsd.f	EPRSHIFT	subroutine	5533	identical	identical	48676140f5359792e24b3076c800b0c7b4da119084704f009dceadd14958c9a0	48676140f5359792e24b3076c800b0c7b4da119084704f009dceadd14958c9a0	48676140f5359792e24b3076c800b0c7b4da119084704f009dceadd14958c9a0	none-no-variant-delta
eprsd.f	CHBPLT	subroutine	5707	identical	identical	f040ecd60d74e59dab549bd72401fc1e77395688416224efa419edba126b75d9	f040ecd60d74e59dab549bd72401fc1e77395688416224efa419edba126b75d9	f040ecd60d74e59dab549bd72401fc1e77395688416224efa419edba126b75d9	none-no-variant-delta
eprsd.f	DBSUM	subroutine	5805	identical	identical	a9af25d4f74237f0ed5b8a037542fab0db2218ec95fc7f3cd512b977cfb7fc10	a9af25d4f74237f0ed5b8a037542fab0db2218ec95fc7f3cd512b977cfb7fc10	a9af25d4f74237f0ed5b8a037542fab0db2218ec95fc7f3cd512b977cfb7fc10	none-no-variant-delta
eprsd.f	EPRMCRLO	subroutine	6011	identical	identical	0726d91a276af8144346b6725205e638a6f315fb7232565fa8718ad41d98eb7a	0726d91a276af8144346b6725205e638a6f315fb7232565fa8718ad41d98eb7a	0726d91a276af8144346b6725205e638a6f315fb7232565fa8718ad41d98eb7a	none-no-variant-delta
eprsd.f	EPRCHP	subroutine	6197	identical	identical	0923847512e7c1373ee1d249f9f822551ad9afc49e636968538e0dcecdf879e3	0923847512e7c1373ee1d249f9f822551ad9afc49e636968538e0dcecdf879e3	0923847512e7c1373ee1d249f9f822551ad9afc49e636968538e0dcecdf879e3	none-no-variant-delta
eprsd.f	PNMOD	subroutine	6239	identical	identical	9a5870501e048c3cb98874edc6b19bce37e83584e0bb8f28570f2902b357a4b3	9a5870501e048c3cb98874edc6b19bce37e83584e0bb8f28570f2902b357a4b3	9a5870501e048c3cb98874edc6b19bce37e83584e0bb8f28570f2902b357a4b3	none-no-variant-delta
eprsd.f	BWR	subroutine	6256	identical	identical	3034898ad35e487335136a34c60b8ae8322b1a6cde9b0112431c89f7bec41033	3034898ad35e487335136a34c60b8ae8322b1a6cde9b0112431c89f7bec41033	3034898ad35e487335136a34c60b8ae8322b1a6cde9b0112431c89f7bec41033	none-no-variant-delta
eprsd.f	PHSBW	subroutine	6293	identical	identical	eb35dec4881c5c487ea8f292bba12468b2df27e85d7391579ac0a59c3e6b21b1	eb35dec4881c5c487ea8f292bba12468b2df27e85d7391579ac0a59c3e6b21b1	eb35dec4881c5c487ea8f292bba12468b2df27e85d7391579ac0a59c3e6b21b1	none-no-variant-delta
eprsd.f	WATSON	subroutine	6335	identical	identical	c62275c26c3776ee795bb264ffd217a6c795a5de16a5ac0aaacd00ee5bc59328	c62275c26c3776ee795bb264ffd217a6c795a5de16a5ac0aaacd00ee5bc59328	c62275c26c3776ee795bb264ffd217a6c795a5de16a5ac0aaacd00ee5bc59328	none-no-variant-delta
eprsd.f	PHSX	function	6629	identical	identical	68c4284c1e6eface24c7a74ab6430b963c11a8f52a66ee119649759139a7a9af	68c4284c1e6eface24c7a74ab6430b963c11a8f52a66ee119649759139a7a9af	68c4284c1e6eface24c7a74ab6430b963c11a8f52a66ee119649759139a7a9af	none-no-variant-delta
eprsd.f	RESCOUPL	subroutine	6643	identical	identical	8344de3c8f9fffb662cc889a02ba73165eeb10221cd247d32bdd12662d85fad6	8344de3c8f9fffb662cc889a02ba73165eeb10221cd247d32bdd12662d85fad6	8344de3c8f9fffb662cc889a02ba73165eeb10221cd247d32bdd12662d85fad6	none-no-variant-delta
eprsd.f	AQ2DEP	subroutine	6942	identical	identical	2e3095c8b80e6870b81790fd787b4e35c16ec79f54488d4b659214e7ea3f5d55	2e3095c8b80e6870b81790fd787b4e35c16ec79f54488d4b659214e7ea3f5d55	2e3095c8b80e6870b81790fd787b4e35c16ec79f54488d4b659214e7ea3f5d55	none-no-variant-delta
eprsd.f	NLHPN	function	7179	identical	identical	2eef989394a7e9e77afddc222ea1a00d604fe2619dc14ed800c4bef8d3c4fb97	2eef989394a7e9e77afddc222ea1a00d604fe2619dc14ed800c4bef8d3c4fb97	2eef989394a7e9e77afddc222ea1a00d604fe2619dc14ed800c4bef8d3c4fb97	none-no-variant-delta
eprsd.f	RESCOUPLQ	subroutine	7198	identical	identical	b7897fb53a5c020820c12523c3feb631e2bf09e90c44a676b363f55d19c4daf6	b7897fb53a5c020820c12523c3feb631e2bf09e90c44a676b363f55d19c4daf6	b7897fb53a5c020820c12523c3feb631e2bf09e90c44a676b363f55d19c4daf6	none-no-variant-delta
eprsd.f	EPRWQK	subroutine	7495	identical	identical	d190746348d0d083c01124f88060f849b5d50dcfc4d43d99c0190cd324ef5093	d190746348d0d083c01124f88060f849b5d50dcfc4d43d99c0190cd324ef5093	d190746348d0d083c01124f88060f849b5d50dcfc4d43d99c0190cd324ef5093	none-no-variant-delta
eprsd.f	WQKCRS	subroutine	7642	identical	identical	8b81bd762ee9d25b79d916cd4b9d615df55fb9b395065c29155146e04addc726	8b81bd762ee9d25b79d916cd4b9d615df55fb9b395065c29155146e04addc726	8b81bd762ee9d25b79d916cd4b9d615df55fb9b395065c29155146e04addc726	none-no-variant-delta
eprsd.f	GETAS	subroutine	7718	identical	identical	a9e4576e6ad44b3673bd4e3596dbe2d07c3391efb74fa18ae3282c68db12a96b	a9e4576e6ad44b3673bd4e3596dbe2d07c3391efb74fa18ae3282c68db12a96b	a9e4576e6ad44b3673bd4e3596dbe2d07c3391efb74fa18ae3282c68db12a96b	none-no-variant-delta
eprsd.f	GETASQ	subroutine	7976	identical	identical	67ad85f49b1a0e539e03779d4af270c671e8b2cf637112998df7d11ba63856e7	67ad85f49b1a0e539e03779d4af270c671e8b2cf637112998df7d11ba63856e7	67ad85f49b1a0e539e03779d4af270c671e8b2cf637112998df7d11ba63856e7	none-no-variant-delta
eprsd2.f	EPRPWA	subroutine	1	identical	identical	36af1159f21cef48bc87c0d16b808a29bc69c54420f94c32e8714d3721eb5036	36af1159f21cef48bc87c0d16b808a29bc69c54420f94c32e8714d3721eb5036	36af1159f21cef48bc87c0d16b808a29bc69c54420f94c32e8714d3721eb5036	none-no-variant-delta
eprsd2.f	RESDSP	subroutine	1118	identical	identical	e34e1fa7d76b506a8daee3882a8a27ed856ac4628dad22e8a49196433ffd4082	e34e1fa7d76b506a8daee3882a8a27ed856ac4628dad22e8a49196433ffd4082	e34e1fa7d76b506a8daee3882a8a27ed856ac4628dad22e8a49196433ffd4082	none-no-variant-delta
eprsd2.f	EPRCRS	subroutine	1187	identical	identical	1603188f7f7e10d0fcfc2df9486b54f4cfb79c5b51d27e760c58be4305988e6a	1603188f7f7e10d0fcfc2df9486b54f4cfb79c5b51d27e760c58be4305988e6a	1603188f7f7e10d0fcfc2df9486b54f4cfb79c5b51d27e760c58be4305988e6a	none-no-variant-delta
eprsd2.f	CCPRINT	subroutine	1294	identical	identical	34c2203b89ca415e059c2380470702597749918617f8a79e94393ad9fd70fe4c	34c2203b89ca415e059c2380470702597749918617f8a79e94393ad9fd70fe4c	34c2203b89ca415e059c2380470702597749918617f8a79e94393ad9fd70fe4c	none-no-variant-delta
eprsd2.f	HTOMJL	subroutine	1377	identical	identical	f26ef31ea87eec95aae1ba6bcbc19421bef43e8e9b63a5c403d669ee74821d67	f26ef31ea87eec95aae1ba6bcbc19421bef43e8e9b63a5c403d669ee74821d67	f26ef31ea87eec95aae1ba6bcbc19421bef43e8e9b63a5c403d669ee74821d67	none-no-variant-delta
eprsd2.f	PLTSB	subroutine	1406	identical	identical	267b9561fbd8e1861ceaac719a4a1c15e0c888b65849ed6b1a2b21adccd05efd	267b9561fbd8e1861ceaac719a4a1c15e0c888b65849ed6b1a2b21adccd05efd	267b9561fbd8e1861ceaac719a4a1c15e0c888b65849ed6b1a2b21adccd05efd	none-no-variant-delta
eprsd2.f	DORXPT	subroutine	1440	identical	identical	d1fee6a038d7db8568ea8d8e3d2a5a2f6c0ae0b94452b4696e10e80233e32297	d1fee6a038d7db8568ea8d8e3d2a5a2f6c0ae0b94452b4696e10e80233e32297	d1fee6a038d7db8568ea8d8e3d2a5a2f6c0ae0b94452b4696e10e80233e32297	none-no-variant-delta
eprsd2.f	EPRBIND	subroutine	1458	identical	identical	0eb443b35b8744db9f22931cd01f70be7c2fb06f6106969c8d915a8699d1a86a	0eb443b35b8744db9f22931cd01f70be7c2fb06f6106969c8d915a8699d1a86a	0eb443b35b8744db9f22931cd01f70be7c2fb06f6106969c8d915a8699d1a86a	none-no-variant-delta
eprsd2.f	ARROW	subroutine	1818	identical	identical	e0db95d15cda5a4dc748a278e3d536d00911e4e0ab0a9767ef9efc2b8f5dab8f	e0db95d15cda5a4dc748a278e3d536d00911e4e0ab0a9767ef9efc2b8f5dab8f	e0db95d15cda5a4dc748a278e3d536d00911e4e0ab0a9767ef9efc2b8f5dab8f	none-no-variant-delta
eprsd2.f	EPRMOVY	subroutine	1839	identical	identical	7d024dc3d531aea54bde866ca532bfd189d362304502cf91b55a97899c49c5a9	7d024dc3d531aea54bde866ca532bfd189d362304502cf91b55a97899c49c5a9	7d024dc3d531aea54bde866ca532bfd189d362304502cf91b55a97899c49c5a9	none-no-variant-delta
eprsd2.f	EPRPLAN	subroutine	2237	identical	identical	074436121d94276e7709aa875b63aeae405437db38b958df53705dd9990e9750	074436121d94276e7709aa875b63aeae405437db38b958df53705dd9990e9750	074436121d94276e7709aa875b63aeae405437db38b958df53705dd9990e9750	none-no-variant-delta
eprsd2.f	EPRCONP	subroutine	2735	identical	identical	51db66dae176131f931bb34089cd1d06f35253d42d9c93ef726379c9f36eeb46	51db66dae176131f931bb34089cd1d06f35253d42d9c93ef726379c9f36eeb46	51db66dae176131f931bb34089cd1d06f35253d42d9c93ef726379c9f36eeb46	none-no-variant-delta
eprsd2.f	A3DPLT	subroutine	3175	identical	identical	50bea6d8540993ea481d386b5e80be7d143e948bc81a4f96db2f0b07039a5c8a	50bea6d8540993ea481d386b5e80be7d143e948bc81a4f96db2f0b07039a5c8a	50bea6d8540993ea481d386b5e80be7d143e948bc81a4f96db2f0b07039a5c8a	none-no-variant-delta
eprsd2.f	GETXYP	subroutine	3429	identical	identical	ac8939d804adbb90e21d6a5597e6bfb0b4e0703d6c0e2b237c47699e82bbca48	ac8939d804adbb90e21d6a5597e6bfb0b4e0703d6c0e2b237c47699e82bbca48	ac8939d804adbb90e21d6a5597e6bfb0b4e0703d6c0e2b237c47699e82bbca48	none-no-variant-delta
eprsd2.f	EPRPTX	subroutine	3451	identical	identical	e5fdaa14fd4fe990a86b633eb98bd9fddba2bb8fb79062b51b718bc19a6a290f	e5fdaa14fd4fe990a86b633eb98bd9fddba2bb8fb79062b51b718bc19a6a290f	e5fdaa14fd4fe990a86b633eb98bd9fddba2bb8fb79062b51b718bc19a6a290f	none-no-variant-delta
eprsd2.f	CONFUN	subroutine	3761	identical	identical	23c75f3505a35de529d3eefbd34af3f825b67fc5e3dbc57490285d68c5497bf4	23c75f3505a35de529d3eefbd34af3f825b67fc5e3dbc57490285d68c5497bf4	23c75f3505a35de529d3eefbd34af3f825b67fc5e3dbc57490285d68c5497bf4	none-no-variant-delta
eprsd2.f	EPRSWAP	subroutine	4117	identical	identical	581e46a9977f6226661918a7ff8869aceb4915fae6fe3917a174650a1956405b	581e46a9977f6226661918a7ff8869aceb4915fae6fe3917a174650a1956405b	581e46a9977f6226661918a7ff8869aceb4915fae6fe3917a174650a1956405b	none-no-variant-delta
